Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 18:00:00,30,30,30,,30,0,0,0,16.6,315,,12.4,0,43.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 19:00:00,30,30,30,,30,0,0,0,18.4,310,,10,0,42.83,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 20:00:00,28,28,28,,28.3,0,0,0,11.2,330,,10,0,48.09,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 21:00:00,27,27,27,,28,0,0,0,7.4,335,,10,0,59.02,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 22:00:00,27,27,27,,28.2,0,0,0,5.4,,,10,0,61.62,Clear
"תל אביב - יפו, תל אביב, ישראל",07/02/2019 23:00:00,26,26,26,,,0,0,0,5.4,,,10,0,65.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 00:00:00,25,25,25,,,0,0,0,4.7,290,,10,0,68.95,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 01:00:00,25,25,25,,,0,0,0,1.8,,,10,0,69.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 02:00:00,25,25,25,,,0,0,0,11.2,140,,10,0,65.15,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 03:00:00,23.6,23.6,23.6,,,0,0,0,8.3,123,,10,40,71.83,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 04:00:00,24,24,24,,,0,0,0,7.6,140,,10,50,69.16,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 05:00:00,24,24,24,,,0,0,0,7.6,140,,10,27.8,69.16,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 06:00:00,23,23,23,,,0,0,0,4.7,116,,10,33,76.11,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 07:00:00,24,24,24,,,0,0,0,6.3,30,,10.3,28.2,73.74,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 08:00:00,26,26,26,,,0,0,0,9.4,200,,10,27.8,69.55,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 09:00:00,27.5,27.5,27.5,,29.1,0,0,0,7.4,246,,12.4,30.7,63.8,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 10:00:00,29,29,29,,30.8,0,0,0,7.6,250,,10,27.8,58.35,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 11:00:00,30,30,30,,31.9,0,0,0,14.8,280,,10,27.8,55.08,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 12:00:00,30.2,30.2,30.2,,31.9,0,0,0,14.6,266,,14.7,19.1,52.62,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 13:00:00,31,31,31,,32.4,0,0,0,18.4,270,,10,27.8,48.88,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 14:00:00,31,31,31,,31.9,0,0,0,18.4,300,,10,0,45.91,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 15:00:00,31.5,31.5,31.5,,33.5,0,0,0,17.6,290,,14.7,0,49.97,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 16:00:00,30,30,30,,31.3,0,0,0,18.4,290,,10,0,51.76,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 17:00:00,29.8,29.8,29.8,,31.7,0,0,0,21.1,303,,10.3,2.8,55.82,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 18:00:00,29.8,29.8,29.8,,31.7,0,0,0,17.8,305,,14.7,6,56.23,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 19:00:00,29,29,29,,31.4,0,0,0,18.4,320,,10,0,62.06,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 20:00:00,28,28,28,,29.7,0,0,0,13,310,,10,0,61.84,Clear
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 21:00:00,26.9,26.9,26.9,,28.6,0,0,0,9.6,319,,10,27,69.71,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 22:00:00,27,27,27,,28.8,0,0,0,5.4,,,10,27.8,69.74,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/03/2019 23:00:00,26,26,26,,,0,0,0,3.6,,,10,27.8,73.97,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 00:00:00,25.2,25.2,25.2,,,0,0,0,2.8,165,,10,28.4,74.85,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 01:00:00,25,25,25,,,0,0,0,5.4,,,10,27.8,78.5,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 02:00:00,25,25,25,,,0,0,0,9.4,130,,10,50,73.8,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 03:00:00,23.9,23.9,23.9,,,0,0,0,7.5,128,,10,44.6,76.74,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 04:00:00,24,24,24,,,0,0,0,11.2,140,,10,50,78.36,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 05:00:00,24,24,24,,,0,0,0,7.6,130,,10,27.8,78.36,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 06:00:00,23.1,23.1,23.1,,,0,0,0,7.4,133,,12.4,14.5,79.48,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 07:00:00,24,24,24,,,0,0,0,7.6,120,,10,27.8,73.63,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 08:00:00,26,26,26,,,0,0,0,5.4,,,10,27.8,69.55,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 09:00:00,27.4,27.4,27.4,,28.8,0,0,0,3.7,360,,10,19.1,62.67,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 10:00:00,29,29,29,,29.9,0,0,0,7.6,280,,10,0,51.5,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 11:00:00,31,31,31,,31.9,0,0,0,7.6,330,,10,27.8,45.91,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 12:00:00,30.4,30.4,30.4,,30.9,0,0,0,14.5,291,,10,19.1,45.67,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 13:00:00,31,31,31,,31.4,0,0,0,14.8,280,,10,27.8,43.11,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 14:00:00,31,31,31,,31.4,0,0,0,24.1,290,,10,0,43.11,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 15:00:00,30.8,30.8,30.8,,31,0,0,0,22.8,314,,10,0,42.33,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 16:00:00,31,31,31,,31,0,0,0,22.3,320,,10,0,40.45,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 17:00:00,30,30,30,,30.4,0,0,0,18.4,320,,10,0,45.65,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 18:00:00,29.2,29.2,29.2,,30.1,0,0,0,20.5,331,,10.2,0.3,51.44,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 19:00:00,28.8,28.8,28.8,,29.9,0,0,0,17.2,343,,10,0,54.46,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 20:00:00,28,28,28,,29.3,0,0,0,14.8,330,,10,0,58.11,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 21:00:00,26.9,26.9,26.9,,28.1,0,0,0,10.3,344,,10,0,62.17,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 22:00:00,27,27,27,,28.5,0,0,0,13,340,,10,0,65.57,Clear
"תל אביב - יפו, תל אביב, ישראל",07/04/2019 23:00:00,26,26,26,,,0,0,0,9.4,360,,10,0,69.55,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 00:00:00,26,26,26,,,0,0,0,3.6,,,10,0,69.55,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 01:00:00,25,25,25,,,0,0,0,7.6,130,,10,0,73.8,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 02:00:00,25,25,25,,,0,0,0,5.4,,,10,0,69.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 03:00:00,23.3,23.3,23.3,,,0,0,0,5.9,128,,10,28.4,75.4,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 04:00:00,24,24,24,,,0,0,0,7.6,140,,10,27.8,73.63,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 05:00:00,23,23,23,,,0,0,0,9.4,150,,10,89.1,78.21,Overcast
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 06:00:00,22.2,22.2,22.2,,,0,0,0,6.8,143,,10,65,80.07,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 07:00:00,24,24,24,,,0,0,0,5.4,,,10,27.8,73.63,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 08:00:00,26,26,26,,,0,0,0,9.4,150,,10,27.8,69.55,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 09:00:00,27.6,27.6,27.6,,29.1,0,0,0,6.3,204,,10,28.4,61.26,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 10:00:00,28,28,28,,28.9,0,0,0,7.6,270,,10,27.8,54.59,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 11:00:00,28,28,28,,29.3,0,0,0,13,260,,10,27.8,58.11,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 12:00:00,29.8,29.8,29.8,,31,0,0,0,16.4,292,,10,14.5,51.8,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 13:00:00,29,29,29,,29.9,0,0,0,16.6,290,,10,0,51.5,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 14:00:00,30,30,30,,31.3,0,0,0,16.6,280,,10,0,51.76,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 15:00:00,30,30,30,,31,0,0,0,16.5,304,,10,0,49.55,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 16:00:00,30,30,30,,31.3,0,0,0,18.4,290,,10,0,51.76,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 17:00:00,30,30,30,,30.8,0,0,0,18.4,310,,10,0,48.62,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 18:00:00,29.1,29.1,29.1,,30.5,0,0,0,16.7,331,,12.5,0,55.74,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 19:00:00,28,28,28,,29.3,0,0,0,16.6,330,,10,0,58.11,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 20:00:00,27,27,27,,28.5,0,0,0,13,330,,10,0,65.57,Clear
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 21:00:00,26.8,26.8,26.8,,28.3,0,0,0,8.6,328,,10,28.4,67.47,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 22:00:00,26,26,26,,,0,0,0,5.4,,,10,27.8,73.97,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/05/2019 23:00:00,26,26,26,,,0,0,0,3.6,,,10,27.8,73.97,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 00:00:00,25.1,25.1,25.1,,,0,0,0,5.8,180,,10,14.5,75.21,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 01:00:00,25,25,25,,,0,0,0,11.2,150,,10,0,73.8,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 02:00:00,24,24,24,,,0,0,0,13,150,,10,0,78.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 03:00:00,23.6,23.6,23.6,,,0,0,0,8.5,157,,10,0,78.85,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 04:00:00,24,24,24,,,0,0,0,11.2,150,,10,0,78.36,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 05:00:00,24,24,24,,,0,0,0,9.4,150,,10,0,73.63,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 06:00:00,23.1,23.1,23.1,,,0,0,0,5.7,133,,10,74.3,74.33,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 07:00:00,24,24,24,,,0,0,0,11.2,140,,10,89.1,64.93,Overcast
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 08:00:00,25,25,25,,,0,0,0,13,150,,10,89.1,65.15,Overcast
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 09:00:00,27,27,27,,28.8,0,0,0,9.4,190,,10,39.2,69.74,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 10:00:00,29,29,29,,31.4,0,0,0,9.4,200,,10,50,62.06,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 11:00:00,30,30,30,,31.9,0,0,0,11.2,250,,10,27.8,55.08,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 12:00:00,30.8,30.8,30.8,,33.5,0,0,0,14.5,246,,14.7,6,55.8,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 13:00:00,31,31,31,,33.8,0,0,0,20.5,260,,10,0,55.32,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 14:00:00,32,32,32,,34.9,0,0,0,20.5,240,,10,0,52.27,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 15:00:00,30.8,30.8,30.8,,33.8,0,0,0,20.4,270,,10,6,57.15,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 16:00:00,31,31,31,,34.6,0,0,0,18.4,280,,10,27.8,58.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 17:00:00,30,30,30,,33.3,0,0,0,14.8,300,,10,27.8,62.28,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 18:00:00,30,30,30,,33.3,0,0,0,12,290,,10,19.1,62.09,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 19:00:00,29,29,29,,32.1,0,0,0,10.2,284,,10.3,27.8,65.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 20:00:00,28,28,28,,30.7,0,0,0,7.6,230,,10,27.8,69.92,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 21:00:00,27,27,27,,29.3,0,0,0,8.4,250,,10,14.5,75.04,Clear
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 22:00:00,27,27,27,,29.6,0,0,0,7.6,240,,10,27.8,78.78,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/06/2019 23:00:00,26,26,26,,,0,0,0,7.6,210,,10,0,83.57,Clear
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 00:00:00,25.4,25.4,25.4,,,0,0,0,6.3,232,,10,0,82.31,Clear
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 01:00:00,26,26,26,,,0,0,0,7.6,170,,10,0,83.57,Clear
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 02:00:00,25,25,25,,,0,0,0,11.2,160,,10,89.1,83.45,Overcast
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 03:00:00,24.5,24.5,24.5,,,0,0,0,11.9,157,,10,44.6,80.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 04:00:00,25,25,25,,,0,0,0,13,150,,10,89.1,78.5,Overcast
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 05:00:00,25,25,25,,,0,0,0,13,160,,10,50,78.5,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 06:00:00,24.3,24.3,24.3,,,0,0,0,10.3,152,,9.5,69.6,83.48,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 07:00:00,25,25,25,,,0,0,0,13,150,,10,50,78.5,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 08:00:00,27,27,27,,29.2,0,0,0,16.6,150,,10,27.8,74.14,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 09:00:00,27.8,27.8,27.8,,30.4,0,0,0,14.5,195,,10,74.3,71.04,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 10:00:00,29,29,29,,32,0,0,0,16.6,200,,10,50,65.98,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 11:00:00,31,31,31,,33.8,0,0,0,18.4,230,,10,27.8,55.32,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 12:00:00,31.8,31.8,31.8,,35.6,0,0,0,19.8,245,,10,33,56.43,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 13:00:00,32,32,32,,35.8,0,0,0,22.3,240,,10,27.8,55.57,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 14:00:00,31,31,31,,34.6,0,0,0,18.4,250,,10,27.8,58.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 15:00:00,31.3,31.3,31.3,,35.1,0,0,0,18.2,251,,10,42.3,58.7,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 16:00:00,31,31,31,,34.6,0,0,0,20.5,260,,10,50,58.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 17:00:00,30,30,30,,33.3,0,0,0,16.6,260,,10,89.1,62.28,Overcast
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 18:00:00,29.9,29.9,29.9,,33.2,0,0,0,13,285,,10,53.8,62.79,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 19:00:00,28.9,28.9,28.9,,31.9,0,0,0,13.4,275,,10,50,66.69,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 20:00:00,28,28,28,,30.7,0,0,0,13,240,,10,50,69.92,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 21:00:00,27,27,27,,29.2,0,0,0,9.3,240,,10,33,73.65,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 22:00:00,27,27,27,,29.2,0,0,0,9.4,220,,10,27.8,74.14,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/07/2019 23:00:00,26,26,26,,,0,0,0,7.6,210,,10,27.8,78.64,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 00:00:00,26.3,26.3,26.3,,,0,0,0,9.3,174,,10,40.6,76.84,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 01:00:00,26,26,26,,,0,0,0,11.2,160,,10,39.2,78.64,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 02:00:00,26,26,26,,,0,0,0,11.2,150,,10,39.2,78.64,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 03:00:00,25.4,25.4,25.4,,,0,0,0,10.3,157,,10,69.6,79.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 04:00:00,25,25,25,,,0,0,0,11.2,160,,10,50,83.45,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 05:00:00,25,25,25,,,0,0,0,11.2,160,,10,27.8,83.45,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 06:00:00,24.6,24.6,24.6,,,0,0,0,10,162,,10,37.7,84.22,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 07:00:00,25,25,25,,,0,0,0,11.2,140,,10,50,83.45,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 08:00:00,26,26,26,,,0,0,0,18.4,180,,10,27.8,78.64,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 09:00:00,27.8,27.8,27.8,,29.9,0,0,0,13.9,210,,10,63.1,66.42,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 10:00:00,29.8,29.8,29.8,,32,0,0,0,15.4,219,,12.4,44.3,57.48,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 11:00:00,30,30,30,,33.3,0,0,0,14.8,250,,10,50,62.28,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 12:00:00,30.4,30.4,30.4,,33.6,0,0,0,19.1,260,,10,49.2,60.26,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 13:00:00,31,31,31,,34.6,0,0,0,22.3,270,,10,50,58.82,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 14:00:00,31,31,31,,33.8,0,0,0,20.5,290,,10,27.8,55.32,Partially cloudy
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 15:00:00,31.2,31.2,31.2,,34.8,0,0,0,16.5,271,,12.4,19.1,57.94,Clear
"תל אביב - יפו, תל אביב, ישראל",07/08/2019 16:00:00,31,31,31,,33.8,0,0,0,18.4,260,,10,0,55.32,Clear
